page_id,candidate_id,doc_id,page_idx,page_label,figure_family,difficulty,classification_confidence,overlay_path,page_dir,shortlist_reason
jm_0032,c_0228,17_1310_0306v1,2,1310_0306v1#page_2,route_map_or_flow,hard,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/17_1310_0306v1/pages/page_002/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/17_1310_0306v1/pages/page_002,"accepted_into_('route_map_or_flow', 'stress')"
jm_0033,c_0231,18_2305_01323v3,0,2305_01323v3#page_0,route_map_or_flow,hard,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/18_2305_01323v3/pages/page_000/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/18_2305_01323v3/pages/page_000,"accepted_into_('vector_dominant', 'hard')"
jm_0034,c_0233,18_2305_01323v3,2,2305_01323v3#page_2,route_map_or_flow,hard,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/18_2305_01323v3/pages/page_002/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/18_2305_01323v3/pages/page_002,"accepted_into_('vector_dominant', 'stress')"
jm_0035,c_0234,18_2305_01323v3,3,2305_01323v3#page_3,route_map_or_flow,hard,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/18_2305_01323v3/pages/page_003/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/18_2305_01323v3/pages/page_003,"accepted_into_('vector_dominant', 'stress')"
jm_0036,c_0254,19_2407_05183v2,10,2407_05183v2#page_10,route_map_or_flow,hard,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/19_2407_05183v2/pages/page_010/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/19_2407_05183v2/pages/page_010,"accepted_into_('route_map_or_flow', 'stress')"
jm_0037,c_0024,03_2203_11714v1,2,2203_11714v1#page_2,vector_dominant,stress,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/03_2203_11714v1/pages/page_002/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/03_2203_11714v1/pages/page_002,"accepted_into_('route_map_or_flow', 'control')"
jm_0038,c_0026,03_2203_11714v1,4,2203_11714v1#page_4,vector_dominant,stress,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/03_2203_11714v1/pages/page_004/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/03_2203_11714v1/pages/page_004,"accepted_into_('route_map_or_flow', 'stress')"
jm_0039,c_0042,05_2503_05524v1,2,2503_05524v1#page_2,vector_dominant,hard,0.6,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/05_2503_05524v1/pages/page_002/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/05_2503_05524v1/pages/page_002,"accepted_into_('route_map_or_flow', 'control')"
jm_0040,c_0044,05_2503_05524v1,4,2503_05524v1#page_4,vector_dominant,stress,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/05_2503_05524v1/pages/page_004/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/05_2503_05524v1/pages/page_004,"accepted_into_('compound_multi_panel', 'hard')"
jm_0041,c_0047,05_2503_05524v1,7,2503_05524v1#page_7,vector_dominant,control,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/05_2503_05524v1/pages/page_007/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/05_2503_05524v1/pages/page_007,"accepted_into_('compound_multi_panel', 'hard')"
jm_0042,c_0050,05_2503_05524v1,10,2503_05524v1#page_10,vector_dominant,control,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/05_2503_05524v1/pages/page_010/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/05_2503_05524v1/pages/page_010,"accepted_into_('compound_multi_panel', 'hard')"
jm_0043,c_0080,07_2601_00251v1,5,2601_00251v1#page_5,vector_dominant,hard,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/07_2601_00251v1/pages/page_005/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/07_2601_00251v1/pages/page_005,"accepted_into_('compound_multi_panel', 'hard')"
jm_0044,c_0088,08_2603_25804v1,6,2603_25804v1#page_6,vector_dominant,stress,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/08_2603_25804v1/pages/page_006/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/08_2603_25804v1/pages/page_006,"accepted_into_('compound_multi_panel', 'hard')"
jm_0045,c_0089,08_2603_25804v1,7,2603_25804v1#page_7,vector_dominant,stress,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/08_2603_25804v1/pages/page_007/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/08_2603_25804v1/pages/page_007,"accepted_into_('mixed_vector_raster', 'hard')"
jm_0046,c_0366,26_2001_03271v2,4,2001_03271v2#page_4,vector_dominant,hard,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/26_2001_03271v2/pages/page_004/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/26_2001_03271v2/pages/page_004,"accepted_into_('compound_multi_panel', 'hard')"
jm_0047,c_0367,26_2001_03271v2,5,2001_03271v2#page_5,vector_dominant,hard,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/26_2001_03271v2/pages/page_005/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/26_2001_03271v2/pages/page_005,"accepted_into_('route_map_or_flow', 'hard')"
jm_0048,c_0405,29_2207_05401v2,3,2207_05401v2#page_3,vector_dominant,hard,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/29_2207_05401v2/pages/page_003/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/29_2207_05401v2/pages/page_003,"accepted_into_('mixed_vector_raster', 'hard')"
jm_0049,,tust_squeezing_2026,4,tust_squeezing_2026#page_4,mixed_vector_raster,control,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/tust_squeezing/pages/page_004/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/tust_squeezing/pages/page_004,"accepted_into_('route_map_or_flow', 'hard')"
jm_0050,,tust_squeezing_2026,6,tust_squeezing_2026#page_6,mixed_vector_raster,control,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/tust_squeezing/pages/page_006/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/tust_squeezing/pages/page_006,"accepted_into_('route_map_or_flow', 'hard')"
jm_0051,,tust_squeezing_2026,8,tust_squeezing_2026#page_8,mixed_vector_raster,control,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/tust_squeezing/pages/page_008/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/tust_squeezing/pages/page_008,"accepted_into_('route_map_or_flow', 'hard')"
jm_0052,,tust_squeezing_2026,9,tust_squeezing_2026#page_9,mixed_vector_raster,control,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/tust_squeezing/pages/page_009/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/tust_squeezing/pages/page_009,"accepted_into_('route_map_or_flow', 'hard')"
jm_0053,c_0004,01_1710_02167v1,3,1710_02167v1#page_3,mixed_vector_raster,control,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_003/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_003,"accepted_into_('route_map_or_flow', 'hard')"
jm_0054,c_0006,01_1710_02167v1,5,1710_02167v1#page_5,mixed_vector_raster,control,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_005/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_005,"accepted_into_('route_map_or_flow', 'hard')"
jm_0055,c_0008,01_1710_02167v1,7,1710_02167v1#page_7,mixed_vector_raster,control,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_007/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_007,"accepted_into_('mixed_vector_raster', 'stress')"
jm_0056,c_0010,01_1710_02167v1,9,1710_02167v1#page_9,mixed_vector_raster,control,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_009/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_009,"accepted_into_('mixed_vector_raster', 'hard')"
jm_0057,c_0150,11_2312_00784v2,7,2312_00784v2#page_7,mixed_vector_raster,hard,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/11_2312_00784v2/pages/page_007/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/11_2312_00784v2/pages/page_007,"accepted_into_('vector_dominant', 'hard')"
jm_0058,c_0183,13_2412_07509v1,11,2412_07509v1#page_11,mixed_vector_raster,hard,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/13_2412_07509v1/pages/page_011/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/13_2412_07509v1/pages/page_011,"accepted_into_('vector_dominant', 'hard')"
jm_0059,c_0264,20_2503_06706v3,6,2503_06706v3#page_6,mixed_vector_raster,stress,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/20_2503_06706v3/pages/page_006/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/20_2503_06706v3/pages/page_006,"accepted_into_('vector_dominant', 'hard')"
jm_0060,c_0351,25_1801_08163v2,5,1801_08163v2#page_5,mixed_vector_raster,hard,0.4,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/25_1801_08163v2/pages/page_005/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/25_1801_08163v2/pages/page_005,backfill_into_mixed_vector_raster
jm_0061,c_0013,01_1710_02167v1,12,01_1710_02167v1#page_12,mixed_vector_raster,control,0.4,,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_012,backfill_into_mixed_vector_raster
jm_0062,c_0014,01_1710_02167v1,13,01_1710_02167v1#page_13,mixed_vector_raster,control,0.4,,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_013,backfill_into_mixed_vector_raster
jm_0063,c_0015,01_1710_02167v1,14,01_1710_02167v1#page_14,mixed_vector_raster,control,0.7,,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_014,backfill_into_vector_dominant
jm_0064,c_0029,04_2412_19303v1,2,04_2412_19303v1#page_2,mixed_vector_raster,control,0.65,,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/04_2412_19303v1/pages/page_002,backfill_into_mixed_vector_raster
jm_0065,c_0032,04_2412_19303v1,5,04_2412_19303v1#page_5,mixed_vector_raster,control,0.65,,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/04_2412_19303v1/pages/page_005,backfill_into_mixed_vector_raster
jm_0066,c_0059,06_2506_18900v1,5,06_2506_18900v1#page_5,mixed_vector_raster,control,0.4,,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/06_2506_18900v1/pages/page_005,backfill_into_mixed_vector_raster
jm_0067,c_0060,06_2506_18900v1,6,06_2506_18900v1#page_6,mixed_vector_raster,control,0.4,,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/06_2506_18900v1/pages/page_006,backfill_into_mixed_vector_raster
jm_0068,c_0079,07_2601_00251v1,4,07_2601_00251v1#page_4,mixed_vector_raster,control,0.4,,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/07_2601_00251v1/pages/page_004,backfill_into_mixed_vector_raster
jm_0069,c_0277,20_2503_06706v3,19,20_2503_06706v3#page_19,mixed_vector_raster,control,0.4,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/20_2503_06706v3/pages/page_019/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/20_2503_06706v3/pages/page_019,backfill_into_mixed_vector_raster
jm_0070,c_0403,29_2207_05401v2,1,29_2207_05401v2#page_1,mixed_vector_raster,control,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/29_2207_05401v2/pages/page_001/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/29_2207_05401v2/pages/page_001,backfill_into_vector_dominant
jm_0071,,tust_squeezing_2026,2,tust_squeezing_2026#page_2,mixed_vector_raster,control,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/tust_squeezing/pages/page_002/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/tust_squeezing/pages/page_002,backfill_into_vector_dominant
jm_0072,,tust_squeezing_2026,5,tust_squeezing_2026#page_5,mixed_vector_raster,control,0.4,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/tust_squeezing/pages/page_005/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/tust_squeezing/pages/page_005,backfill_into_mixed_vector_raster
jm_0073,c_0373,26_2001_03271v2,11,26_2001_03271v2#page_11,hard_negative,control,1.0,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/26_2001_03271v2/pages/page_011/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/26_2001_03271v2/pages/page_011,hard_negative_injection
jm_0074,c_0123,09_1604_06646v1,4,09_1604_06646v1#page_4,hard_negative,control,1.0,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/09_1604_06646v1/pages/page_004/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/09_1604_06646v1/pages/page_004,hard_negative_injection
jm_0075,c_0011,01_1710_02167v1,10,01_1710_02167v1#page_10,hard_negative,control,1.0,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_010/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_010,hard_negative_injection
jm_0076,c_0339,24_2602_14035v1,3,24_2602_14035v1#page_3,hard_negative,control,1.0,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/24_2602_14035v1/pages/page_003/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/24_2602_14035v1/pages/page_003,hard_negative_injection
jm_0077,c_0372,26_2001_03271v2,10,26_2001_03271v2#page_10,hard_negative,control,1.0,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/26_2001_03271v2/pages/page_010/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/26_2001_03271v2/pages/page_010,hard_negative_injection
jm_0078,c_0037,04_2412_19303v1,10,04_2412_19303v1#page_10,hard_negative,control,1.0,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/04_2412_19303v1/pages/page_010/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/04_2412_19303v1/pages/page_010,hard_negative_injection
